Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date," BC End Date	",ND Start Date,ND End Date,Actual Payment Date
513010,TATASTLLP,Tata Steel Long Products Ltd,26-Jul-00,NIL Dividend - Rs. - 0.0000,-,10-Aug-00,18-Aug-00,26-Jul-00,07-Aug-00,-
505242,DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$,27-Jul-00,Dividend - Rs. - 1.0000,-,11-Aug-00,12-Aug-00,27-Jul-00,08-Aug-00,-
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,27-Jul-00,Dividend - Rs. - 0.0000,-,11-Aug-00,31-Aug-00,27-Jul-00,08-Aug-00,-
522287,KALPATPOWR,KALPATARU POWER TRANSMISSION LTD.,27-Jul-00,Final Dividend - Rs. - 0.5000,-,11-Aug-00,16-Aug-00,27-Jul-00,08-Aug-00,-
514175,VARDMNPOLY,VARDHMAN POLYTEX LTD.,27-Jul-00,Final Dividend - Rs. - 0.7000,-,11-Aug-00,26-Aug-00,27-Jul-00,08-Aug-00,-
500439,VHL,VARDHMAN HOLDINGS LTD.,27-Jul-00,Dividend - Rs. - 0.0000,-,11-Aug-00,26-Aug-00,27-Jul-00,08-Aug-00,-
503691,SAHARA,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,28-Jul-00,NIL Dividend - Rs. - 0.0000,-,12-Aug-00,31-Aug-00,28-Jul-00,09-Aug-00,-
523391,NAHARPOLY,NAHAR POLYFILMS LTD.,01-Aug-00,Dividend - Rs. - 1.5000,-,16-Aug-00,25-Aug-00,01-Aug-00,10-Aug-00,-
500296,NAHARSPING,NAHAR SPINNING MILLS LTD.,01-Aug-00,Final Dividend - Rs. - 0.0000,-,16-Aug-00,25-Aug-00,01-Aug-00,10-Aug-00,-
531548,SOMANYCERA,SOMANY CERAMICS LTD.,01-Aug-00,Dividend - Rs. - 1.7000,-,16-Aug-00,04-Sep-00,01-Aug-00,10-Aug-00,-
526666,BIL,BHARTIYA INTERNATIONAL LTD.,02-Aug-00,Dividend - Rs. - 1.2000,-,17-Aug-00,09-Sep-00,02-Aug-00,11-Aug-00,-
